,Unnamed: 0,subjectID,iTrial,video,action,condition,rating,rt,survey,nTrials,Index
119,568,3,28,flipPage_do,flipPage,do,1,3582,They turned a page,29,568
120,120,4,0,brushTableBroom_absent,brushTableBroom,absent,1,13256,Maybe demonstrating how to play the violin,29,120
121,148,4,28,drinkMug_do,drinkMug,do,3,6411,Demonstrating lack of interest in drinking by looking at the bottom of her mug,29,148
122,146,4,26,dispenseSoap_absent,dispenseSoap,absent,1,4969,Copying a scene that Ross does in Friends to tell his roommates to be quiet,29,146
123,145,4,25,openGluestick_absent,openGluestick,absent,1,6862,Starting up a mini lawn mower or a tiny chainsaw,29,145
124,144,4,24,igniteLighter_far,igniteLighter,far,7,3758,Click on the lighter,29,144
125,143,4,23,peelPostIt_far,peelPostIt,far,7,3918,Tear off a sticky note for me please,29,143
126,142,4,22,openSnack_far,openSnack,far,7,4982,Asking someone to tear open a bag of snacks,29,142
127,141,4,21,twistCube_do,twistCube,do,7,5852,Solving a rubik's cube,29,141
128,140,4,20,pressRemote_absent,pressRemote,absent,4,8620,Pressing a TV remote but unclear,29,140
129,139,4,19,foldPaper_absent,foldPaper,absent,1,12328,Placing fabric on a table to cut,29,139
130,138,4,18,openLid_far,openLid,far,6,5222,Open the bottle by twisting open the cap so I can drink,29,138
131,137,4,17,snipScissors_absent,snipScissors,absent,7,5675,Telling someone to be quiet,29,137
132,136,4,16,eraseMark_far,eraseMark,far,3,11519,"Based on picture context, demonstrating how to erase on paper",29,136
133,135,4,15,tweezeTweezer_absent,tweezeTweezer,absent,5,4796,Actively clicking something like a clicker to train a dog,29,135
134,149,4,29,chargePhone_far,chargePhone,far,7,3303,Charging a phone,29,149
135,134,4,14,closeJar_absent,closeJar,absent,5,4975,Imagining twisting open a jar of jam maybe,29,134
136,132,4,12,crushBottle_do,crushBottle,do,5,5455,"Fisting up a plastic, empty waterbottle
",29,132
137,131,4,11,insertAirpod_far,insertAirpod,far,5,8302,Demonstrating how to put an airpod in one's ear without the airpod,29,131
138,130,4,10,swipePhone_do,swipePhone,do,7,15534,"Swiping on a phone, like social media to communicate with friends",29,130
139,129,4,9,sprayBottle_do,sprayBottle,do,3,7415,Wasting liquid spray by spraying it to a non-specified spot,29,129
140,128,4,8,pullTissue_do,pullTissue,do,5,9215,Pulling out tissue paper,29,128
141,127,4,7,blowCandle_far,blowCandle,far,3,8510,Trying to blow out a candle with minimal effort,29,127
142,126,4,6,drawLine_absent,drawLine,absent,2,5616,Fake drawing a straight line,29,126
